molecule_chembl_id,MIC,InChI,MW,pMIC_ug/mL-1,pMIC_uM,NEW_SMILES
CHEMBL91,10.0,BYBLEWFAAKGYCD-UHFFFAOYSA-N,413.986023788,-1.0,-1.3807657553254853,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
CHEMBL75,0.78,XMAYWYJOQHXEEK-OZXSUGGESA-N,530.148760736,0.1079053973095195,-0.1666403632569873,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
CHEMBL70971,12.5,TWFZGCMQGLPBSX-UHFFFAOYSA-N,191.069476528,-1.0969100130080565,-1.815444839808528,COC(=O)Nc1nc2ccccc2[nH]1
CHEMBL5267986,3.1,XIKGETOZQXNXHV-CPFPKWEUSA-N,376.2249741239999,-0.4913616938342727,-0.9156047879048164,C=CC1OC1(C)CC(C)/C(C)=C/C=C(C)\C=C(OC)\C(=C/C(=O)OC)OC
CHEMBL5179336,25.0,MDFJPAQEPZLTCB-JSVBYLJXSA-N,521.3141234759998,-1.3979400086720375,-1.680520836873237,CC(C)=CCc1ccc2c3c([nH]c2c1)[C@@]1(C)[C@@H](CC[C@@]2(O)[C@@]45O[C@@H]4[C@H](O)[C@@H](C(C)(C)O)O[C@H]5CC[C@@]21C)C3
CHEMBL513635,100.0,QIUGSZAEYGGUPJ-UHFFFAOYSA-N,287.152143532,-2.0,-2.5415751963408715,CCC(C)C(=O)C(Cc1c[nH]c2ccccc12)OC(C)=O
CHEMBL513458,200.0,RWBWMAOKPGSLMN-UHFFFAOYSA-N,298.120509056,-2.3010299956639813,-2.826321421687628,COc1cc(-c2cc3c(O)c(C)ccc3o2)c(C)c(O)c1C
CHEMBL513285,200.0,TZBKBAHAEDHKJP-UHFFFAOYSA-N,298.120509056,-2.3010299956639813,-2.826321421687628,COc1cc(-c2cc3c(O)cccc3o2)c(C)c(OC)c1C
CHEMBL511197,200.0,LNYJPSJEXBTRPO-UHFFFAOYSA-N,256.073558864,-2.3010299956639813,-2.892354258108068,COc1cc(O)cc(-c2cc3c(O)cccc3o2)c1
CHEMBL505058,100.0,WOLNKVVWOKWVJB-LZNKSJHBSA-N,625.3938303399999,-2.0,-2.203561665267205,CC[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL504435,100.0,NUFASKQIWTXKBR-LZNKSJHBSA-N,625.39383034,-2.0,-2.203561665267205,CC(C)[C@@H]1NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC1=O
CHEMBL501839,100.0,MNIVLQOKRHODTM-UHFFFAOYSA-N,273.136493468,-2.0,-2.563309520850781,CC(=O)OC(Cc1c[nH]c2ccccc12)C(=O)C(C)C
CHEMBL48310,50.0,FUWUEFKEXZQKKA-UHFFFAOYSA-N,164.083729624,-1.6989700043360187,-2.4835862720351263,CC(C)c1cccc(=O)c(O)c1
CHEMBL477752,100.0,RKFAZBXYICVSKP-WAYWQWQTSA-N,208.109944372,-2.0,-2.6814003920326708,C/C=C\c1cc(OC)c(OC)cc1OC
CHEMBL469036,100.0,MIZMDSVSLSIMSC-VYLWARHZSA-N,639.409480404,-2.0,-2.1939347220468672,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL467139,250.0,VSNVWTRDWTULGY-POZPLHJXSA-N,258.110338296,-2.397940008672037,-2.985866046134517,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)CC[C@H](O)CC1=O
CHEMBL464899,200.0,ZXGSOIIHJOKSSX-UHFFFAOYSA-N,244.109944372,-2.3010299956639813,-2.9131243061514818,COc1ccccc1CCc1cc(O)cc(O)c1
CHEMBL464662,200.0,ZGLHZPWZOCCDAY-UHFFFAOYSA-N,228.115029752,-2.3010299956639813,-2.9425412051872466,Cc1c(O)cc(CCc2ccccc2)cc1O
CHEMBL464321,1.0,ZAOBGQIVGLMBGW-ZOTYWSTISA-N,491.32468816,-0.0,-0.3083271733518127,CCC(C)CC(C)/C=C(\C)[C@H]1O[C@@H](C2=C(O)C([C@]3(O)CCC(=O)C[C@H]3O)CN(C)C2=O)CC[C@@H]1C
CHEMBL463268,6.25,LRXYHMMJJCTUMY-KZXQSYCZSA-N,511.231850396,-0.7958800173440752,-1.086970704421227,COc1ccc2c3c4n(c2c1)[C@H](C=C(C)C)OOC(C)(C)C[C@@H]4N1C(=O)[C@@H]2CCCN2C(=O)[C@]1(O)[C@H]3O
CHEMBL462853,200.0,UJNBNDIUQWFUNM-UHFFFAOYSA-N,240.078644244,-2.3010299956639813,-2.9203521381454136,Cc1c(O)cc(-c2cc3ccccc3o2)cc1O
CHEMBL462852,200.0,LLRJCKLNDNKRTF-UHFFFAOYSA-N,258.12559443600003,-2.3010299956639813,-2.8888770073642727,COc1ccccc1CCc1cc(O)c(C)c(O)c1
CHEMBL462851,200.0,ZPJYSEUYTCMNRN-UHFFFAOYSA-N,298.120509056,-2.3010299956639813,-2.826321421687628,COc1c(C)c(O)c(C)c(-c2cc3c(O)cccc3o2)c1C
CHEMBL462735,12.0,GRVFODKSPHRUNC-UHFFFAOYSA-N,245.141578848,-1.0791812460476249,-1.6894447494100302,CCC(C)C(=O)C(O)Cc1c[nH]c2ccccc12
CHEMBL455737,100.0,IEUFDXNGDNWAKU-MAKNZWJESA-N,611.378180276,-2.0,-2.2134068545184653,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL449756,200.0,LWQZXNMQJHPTQF-UHFFFAOYSA-N,284.104858992,-2.3010299956639813,-2.847236332783655,COc1cc(-c2cc3c(O)cccc3o2)c(C)c(O)c1C
CHEMBL448359,12.5,ZXYYTDCENDYKBR-UHFFFAOYSA-N,178.06299418,-1.0969100130080565,-1.8460339970008663,O=C1CCC(O)c2cccc(O)c21
CHEMBL448235,50.0,DGBICJRAEAUCGO-UHFFFAOYSA-N,239.061614276,-1.6989700043360187,-2.320034565197912,CSC(CC(=O)c1ccccc1N)C(=O)O
CHEMBL4474426,6.25,RQTDORUGVRDBLB-WQRLADHGSA-N,521.3141234759998,-0.7958800173440752,-1.0784608455452744,CC(C)=CCc1cccc2[nH]c3c(c12)C[C@@H]1CC[C@@]2(O)[C@@]45O[C@@H]4[C@H](O)[C@@H](C(C)(C)O)O[C@H]5CC[C@]2(C)[C@@]31C
CHEMBL446988,100.0,PKDCQKBQAKLZBD-SCUYQTRWSA-N,653.4251304679999,-2.0,-2.184516558269679,CC(C)C[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL446318,75.0,UQCSETXJXJTMKO-UMURLBKASA-N,653.4251304679999,-1.8750612633917,-2.059577821661379,CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL445987,12.0,AWOMKVFSCPBMJX-UHFFFAOYSA-N,231.125928784,-1.0791812460476249,-1.7150150014995742,CC(C)C(=O)C(O)Cc1c[nH]c2ccccc12
CHEMBL410316,12.5,DBEYVIGIPJSTOR-FHWLQOOXSA-N,379.18959166,-1.0969100130080565,-1.517744010628597,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3
CHEMBL400450,200.0,YMBHBGHDXJGHSV-UHFFFAOYSA-N,190.06299418,-2.3010299956639813,-3.0218240498003914,O=Cc1ccc(C2COC(=O)C2)cc1
CHEMBL388978,50.0,HKSZLNNOFSGOKW-FYTWVXJKSA-N,466.200490692,-1.6989700043360187,-2.030080188426428,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL374159,250.0,FPYJFEHAWHCUMM-UHFFFAOYSA-N,98.000393924,-2.397940008672037,-3.4064614065595125,O=C1C=CC(=O)O1
CHEMBL327919,200.0,RIOXQFHNBCKOKP-UHFFFAOYSA-N,290.137890436,-2.3010299956639813,-2.8381485527451304,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21
CHEMBL268685,128.0,OZOZCKVLUMXFGS-UHFFFAOYSA-N,286.04773804,-2.1072099696478683,-2.650481163666188,O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O
CHEMBL250060,200.0,QUGMHBNQYXZEIU-UHFFFAOYSA-N,172.052429496,-2.3010299956639813,-3.065039725263247,O=Cc1ccc(-c2ccoc2)cc1
CHEMBL244877,12.5,KGVPNLBXJKTABS-UHFFFAOYSA-N,99.0320284,-1.0969100130080565,-2.1008845674476544,Cc1cc(O)no1
CHEMBL2289418,25.0,LHGFTPCSJJDEKV-UHFFFAOYSA-N,409.251797992,-1.3979400086720375,-1.785604448042009,CCNC(c1ccccc1-c1cn(-c2ccccc2)nc1-c1ccc(C)cc1)C(C)C
CHEMBL2287628,1.6,DEIIFEDOBNMWDY-YQVWRLOYSA-N,347.17644013200004,-0.2041199826559248,-0.6626780374013994,CC(C)C[C@@H]1CC[C@H](Cc2ccc(Cl)cc2)[C@@]1(O)Cn1cncn1
CHEMBL2287442,3.1,YDWXBLOQLSPXQY-ZHALLVOQSA-N,347.17644013200004,-0.4913616938342727,-0.9499197485797471,CCCC[C@@H]1CC[C@H](Cc2ccc(Cl)cc2)[C@@]1(O)Cn1cncn1
CHEMBL2287440,1.6,OKIGMIWWMUOWHE-JFIYKMOQSA-N,333.16079006800004,-0.2041199826559248,-0.6805516911433521,CCC[C@@H]1CC[C@H](Cc2ccc(Cl)cc2)[C@@]1(O)Cn1cncn1
CHEMBL2287437,13.0,UFFCRPUNHBSGJK-VYDXJSESSA-N,319.14514000400004,-1.1139433523068367,-1.609016006963481,CC[C@@H]1CC[C@@H](Cc2ccc(Cl)cc2)[C@]1(O)Cn1cncn1
CHEMBL2287436,0.8,UFFCRPUNHBSGJK-BFYDXBDKSA-N,319.14514000400004,0.0969100130080563,-0.3981626416485875,CC[C@@H]1CC[C@H](Cc2ccc(Cl)cc2)[C@@]1(O)Cn1cncn1
CHEMBL2287435,25.0,UFFCRPUNHBSGJK-ZOBUZTSGSA-N,319.14514000400004,-1.3979400086720375,-1.8930126633286812,CC[C@H]1CC[C@@H](Cc2ccc(Cl)cc2)[C@]1(O)Cn1cncn1
CHEMBL2287434,3.1,CRRIXCGMTAQVGA-XNRPHZJLSA-N,305.12948994000004,-0.4913616938342727,-1.0059114312248765,C[C@@H]1CC[C@H](Cc2ccc(Cl)cc2)[C@@]1(O)Cn1cncn1
CHEMBL2286111,25.0,QTYCMDBMOLSEAM-RYQLBKOJSA-N,333.16079006800004,-1.3979400086720375,-1.874371717159465,CC(C)[C@@H]1CC[C@@H](Cc2ccc(Cl)cc2)[C@]1(O)Cn1cncn1
CHEMBL2286110,25.0,QTYCMDBMOLSEAM-CGTJXYLNSA-N,333.16079006800004,-1.3979400086720375,-1.874371717159465,CC(C)[C@H]1CC[C@@H](Cc2ccc(Cl)cc2)[C@]1(O)Cn1cncn1
CHEMBL2272378,3.1,IGUYEXXAGBDLLX-UHFFFAOYSA-N,331.001427812,-0.4913616938342727,-0.9700418200716312,CCOC(=O)C1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O
CHEMBL2271594,0.1,CRFYLQMIDWBKRT-LPYMAVHISA-N,361.11931918,1.0,0.5585033719081118,COC(=O)NCc1cc(/C(C)=N/OCc2cccc(C)n2)ccc1Cl
CHEMBL2270585,0.78,GCIBWNXPVPSROH-UHFFFAOYSA-N,404.1835032359999,0.1079053973095195,-0.2852200989331117,CCCCC1CCC2=C(CC(C(O)CCCC)C3=C1C(=O)OC3=O)C(=O)OC2=O
CHEMBL2270583,10.0,WIJUUEYIOBKYBJ-UHFFFAOYSA-N,241.085126592,-1.0,-1.61753267798417,CC1=C(C)C(=O)N(c2nc3ccccc3[nH]2)C1=O
CHEMBL2270582,10.0,UYOPUCGRFXKTDP-UHFFFAOYSA-N,260.079706864,-1.0,-1.5846109305794485,CC1=C(C)C(=O)N(c2cccc([N+](=O)[O-])c2C)C1=O
CHEMBL2270580,10.0,DVYMLDZJLCAVJJ-UHFFFAOYSA-N,235.04000624,-1.0,-1.6276956981871118,CC1=C(C)C(=O)N(c2ccc(Cl)cc2)C1=O
CHEMBL2270578,10.0,HYEFSQVPFYQDCW-UHFFFAOYSA-N,207.125928784,-1.0,-1.6834572667180396,CC1=C(C)C(=O)N(C2CCCCC2)C1=O
CHEMBL2270577,50.0,KJWXQRQQRBWLDH-UHFFFAOYSA-N,293.235479232,-1.6989700043360187,-2.2314344105281987,CCCCCCCCCCCCN1C(=O)C(C)=C(C)C1=O
CHEMBL2270576,50.0,SYUDZVMBTHMMTA-UHFFFAOYSA-N,237.172878976,-1.6989700043360187,-2.3235935768184146,CCCCCCCCN1C(=O)C(C)=C(C)C1=O
CHEMBL2270575,5.0,KMCQUOYVMDFZLE-UHFFFAOYSA-N,209.141578848,-0.6989700043360189,-1.3782236014385267,CCCCCCN1C(=O)C(C)=C(C)C1=O
CHEMBL2270574,5.0,RLTWDVOCJCCGCQ-UHFFFAOYSA-N,195.125928784,-0.6989700043360189,-1.4083522710125973,CCCCCN1C(=O)C(C)=C(C)C1=O
CHEMBL2270572,5.0,QWSRARTUANJAIV-UHFFFAOYSA-N,181.11027872,-0.6989700043360189,-1.4407279321926043,CCCCN1C(=O)C(C)=C(C)C1=O
CHEMBL2270570,15.0,UGBQFJBACDBWPQ-UHFFFAOYSA-N,246.05282342,-1.1760912590556811,-1.7847714597905149,CC1=C(COC(=O)c2ccccc2)C(=O)OC1=O
CHEMBL2270569,20.0,VNDDGZWITDJDAC-UHFFFAOYSA-N,184.037173356,-1.3010299956639813,-2.035865347651211,CC(=O)OCC1=C(C)C(=O)OC1=O
CHEMBL2270565,25.0,YYKCBSMIPLOYJP-UHFFFAOYSA-N,154.06299418,-1.3979400086720375,-2.209954221417508,CCCC1=C(C)C(=O)OC1=O
CHEMBL2270564,125.0,AXFDZFNHWXMGNU-UHFFFAOYSA-N,281.85271818800004,-2.096910013008056,-2.6437400312727526,O=C1OC(=O)C(CBr)=C1CBr
CHEMBL2270563,80.0,FWBJLYXRIRBVQG-UHFFFAOYSA-N,184.037173356,-1.9030899869919435,-2.6379253389791737,CC1=C(CCC(=O)O)C(=O)OC1=O
CHEMBL2270560,10.0,AVTAKKPVKDWUEY-UHFFFAOYSA-N,203.94220612,-1.0,-1.688231309629753,CC1=C(CBr)C(=O)OC1=O
CHEMBL2270558,100.0,AGULWIQIYWWFBJ-UHFFFAOYSA-N,165.92244921999998,-2.0,-2.777421380713545,O=C1OC(=O)C(Cl)=C1Cl
CHEMBL2270557,20.0,OUJCFCNZIUTYBH-UHFFFAOYSA-N,250.06299418,-1.3010299956639813,-1.902650703216376,O=C1OC(=O)C(c2ccccc2)=C1c1ccccc1
CHEMBL2270556,150.0,QZYCWJVSPFQUQC-UHFFFAOYSA-N,174.031694052,-2.1760912590556813,-2.9351553114630478,O=C1C=C(c2ccccc2)C(=O)O1
CHEMBL2270553,1000.0,GAIPRQZXSYSCRD-UHFFFAOYSA-N,215.938099284,-3.0,-3.663526256878009,O=C1OC(=O)c2c1ccc(Cl)c2Cl
CHEMBL2270551,500.0,BJDDKZDZTHIIJB-UHFFFAOYSA-N,219.97835674,-2.6989700043360187,-3.3563953470394785,O=C1OC(=O)c2c(F)c(F)c(F)c(F)c21
CHEMBL2269721,3.1,QEEHVPIONMGPLD-HIFRSBDPSA-N,291.113839876,-0.4913616938342727,-1.0263031970300731,O[C@]1(Cn2cncn2)CCC[C@@H]1Cc1ccc(Cl)cc1
CHEMBL2269608,100.0,PSCXFXNEYIHJST-QPJJXVBHSA-N,162.06807956,-2.0,-2.789981281608057,O=C(O)C/C=C/c1ccccc1
CHEMBL2269332,50.0,YZTWXHSWFLKSLQ-MPFYGWOGSA-N,620.3924333719999,-1.6989700043360187,-1.9060015066752969,CCCCCCC(C)C/C(C)=C\C(/C=C(C)/C=C/C(O)C(C)(C)c1cc(OC)c([C@@H]2O[C@H](CO)C[C@H](O)[C@H]2O)c(=O)o1)CO
CHEMBL2229451,750.0,DDJVLBCETGUEBO-AZUAARDMSA-N,338.115423676,-2.8750612633917,-3.345683530633824,CC1(C)C=Cc2cc3c(cc2O1)OC[C@@]1(O)c2ccc(O)cc2O[C@@H]31
CHEMBL2229450,750.0,MIYTVBARXCVVHZ-RYGJVYDSSA-N,338.115423676,-2.8750612633917,-3.345683530633824,C=C(C)[C@@H]1Cc2cc3c(cc2O1)OC[C@@]1(O)c2ccc(O)cc2O[C@@H]31
CHEMBL2229124,25.0,GEURDGODABUDHB-SLFNRPLXSA-N,402.132805056,-1.3979400086720375,-1.793271244151858,C[C@@H]1C(=O)N2c3ccccc3[C@@]3(O)C[C@H](n4cnc5ccccc5c4=O)C(=O)N1[C@H]23
CHEMBL2229121,12.5,QGTGJHYSECYMPA-QPPKQEJQSA-N,461.169918836,-1.0969100130080565,-1.432759011235168,C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@@H]1C(=O)N[C@](C)(O)c2nc3ccccc3c(=O)n21
CHEMBL2229120,12.5,DQQCCKFZJNINST-VCPZKGNQSA-N,445.1750042160001,-1.0969100130080565,-1.4480827769114375,C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@@H]1C(=O)N[C@@H](C)c2nc3ccccc3c(=O)n21
CHEMBL2229119,25.0,YYLAARMDRFESOL-CVAYNVNESA-N,443.1593541520001,-1.3979400086720375,-1.751082618024382,C[C@H]1C(=O)N2c3ccccc3[C@@]3(O)C[C@@H]4C(=O)N[C@](C)(c5nc6ccccc6c(=O)n54)N1[C@@H]23
CHEMBL2229118,12.5,SUVZUTHVKIBYOH-KZULUSFZSA-N,358.142975816,-1.0969100130080565,-1.542540800260502,C[C@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)n2c1nc1ccccc1c2=O
CHEMBL2229117,12.5,SUVZUTHVKIBYOH-KPZWWZAWSA-N,358.142975816,-1.0969100130080565,-1.542540800260502,C[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)n2c1nc1ccccc1c2=O
CHEMBL2229116,6.25,IQQGHQDLZFLSGU-YZQOHXRLSA-N,443.205635648,-0.7958800173440752,-1.1489863931763298,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)(C)O)N1C(=O)[C@@H]2CCCN2C(=O)[C@@]1(O)[C@H]3OC
CHEMBL2229115,25.0,PIWNJAZCHHBADQ-FEHLYQECSA-N,429.189985584,-1.3979400086720375,-1.7650041427622751,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)(C)O)N1C(=O)[C@@H]2CCCN2C(=O)[C@@]1(O)[C@H]3O
CHEMBL2229114,12.5,DARSEBUZHJPBHI-OSAZLGQLSA-N,425.195070964,-1.0969100130080565,-1.4680257588860546,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@]1(O)[C@H]3OC
CHEMBL2137687,1000.0,SRPWOOOHEPICQU-UHFFFAOYSA-N,192.005873228,-3.0,-3.7164138590193208,O=C(O)c1ccc2c(c1)C(=O)OC2=O
CHEMBL1957738,125.0,GGQUSGUQOYGNEW-UHFFFAOYSA-N,372.111006992,-2.096910013008056,-2.5259236654111232,CC(=O)N1C(=O)C2(C3=C(CN2C)C(=O)c2ccccc2C3=O)c2ccccc21
CHEMBL1957737,500.0,JLEJDFXIIFDRTD-UHFFFAOYSA-N,414.194342692,-2.6989700043360187,-3.081440230705908,CCCCCCN1C(=O)C2(C3=C(CN2C)C(=O)c2ccccc2C3=O)c2ccccc21
CHEMBL1957736,500.0,YOPYWAJTLHTTOZ-UHFFFAOYSA-N,386.163042564,-2.6989700043360187,-3.111875568898443,CCCCN1C(=O)C2(C3=C(CN2C)C(=O)c2ccccc2C3=O)c2ccccc21
CHEMBL1957735,250.0,TVOUGKVGDHACQN-UHFFFAOYSA-N,358.131742436,-2.397940008672037,-2.843575642974636,Cc1ccc2c(c1)C1(C(=O)N2C)C2=C(CN1C)C(=O)c1ccccc1C2=O
CHEMBL1957734,250.0,RVRNIQORJVEBLE-UHFFFAOYSA-N,455.9970902760001,-2.397940008672037,-2.7387476019952115,CN1CC2=C(C(=O)c3ccccc3C2=O)C12C(=O)Nc1ccc(I)cc12
CHEMBL1957733,250.0,UIVZJSXLYKLVIK-UHFFFAOYSA-N,408.0109543760001,-2.397940008672037,-2.7859629939014474,CN1CC2=C(C(=O)c3ccccc3C2=O)C12C(=O)Nc1ccc(Br)cc12
CHEMBL1957729,250.0,SIFFXORNRKDNAI-UHFFFAOYSA-N,368.116092372,-2.397940008672037,-2.8316298181830013,C#CCN1C(=O)C2(C3=C(CN2C)C(=O)c2ccccc2C3=O)c2ccccc21
CHEMBL1957728,250.0,XNYBKQLDFJSITF-UHFFFAOYSA-N,344.116092372,-2.397940008672037,-2.86091469806797,Cc1ccc2c(c1)C1(C(=O)N2)C2=C(CN1C)C(=O)c1ccccc1C2=O
CHEMBL1957727,125.0,IBWUGLRRRIOIBF-UHFFFAOYSA-N,330.100442308,-2.096910013008056,-2.577944904508135,CN1CC2=C(C(=O)c3ccccc3C2=O)C12C(=O)Nc1ccccc12
CHEMBL1957720,500.0,VTAIANYLODSDDT-UHFFFAOYSA-N,358.131742436,-2.6989700043360187,-3.144605638638617,CCN1C(=O)C2(C3=C(CN2C)C(=O)c2ccccc2C3=O)c2ccccc21
CHEMBL1957719,250.0,LQFKECHGKWJDBZ-UHFFFAOYSA-N,344.116092372,-2.397940008672037,-2.86091469806797,CN1C(=O)C2(C3=C(CN2C)C(=O)c2ccccc2C3=O)c2ccccc21
CHEMBL1897483,1.0,ONCZDRURRATYFI-TVJDWZFNSA-N,408.129691748,-0.0,-0.3889397890480025,CO/N=C(/C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1
CHEMBL1883512,7.8,XWPZUHJBOLQNMN-UHFFFAOYSA-N,319.14514000400004,-0.8920946026904804,-1.3871672573471243,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1
CHEMBL1774987,750.0,YIFYYPKWOQSCRI-AZUAARDMSA-N,338.1154236759999,-2.8750612633917,-3.345683530633824,CC1(C)C=Cc2c(ccc3c2OC[C@@]2(O)c4ccc(O)cc4O[C@@H]32)O1
CHEMBL1774745,10.0,QWRPNUCONJHYEU-UHFFFAOYSA-N,243.125928784,-1.0,-1.6138471811030424,CC1=C(C)C(=O)N(CCCc2ccccc2)C1=O
CHEMBL157101,25.0,XMAYWYJOQHXEEK-UHFFFAOYSA-N,530.148760736,-1.3979400086720375,-1.6724857692385446,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
CHEMBL1275969,25.0,TUFYVOCKVJOUIR-UHFFFAOYSA-N,164.083729624,-1.3979400086720375,-2.182556276371145,CC(C)c1ccccc(=O)c1O
CHEMBL121188,25.0,MDYOLVRUBBJPFM-UHFFFAOYSA-N,122.036779432,-1.3979400086720375,-2.31114254429793,O=c1cccccc1O
CHEMBL1173076,200.0,PXUNBQVWLWLIHU-UHFFFAOYSA-N,340.16745924799994,-2.3010299956639813,-2.769016204049091,COc1ccc2c(c1O)CCc1cc(O)c(C)c3c1C2CC(C)(C)O3
CHEMBL1090129,12.5,RIXDFYAJYWMUMR-SFMXACBGSA-N,387.215806408,-1.0969100130080565,-1.5086607219432695,COc1ccc2c3c([nH]c2c1)[C@H](C(C)(C)O)N1C[C@@H]2CCCN2C[C@@]1(O)[C@H]3O
CHEMBL1089971,50.0,YZJBCQWDGRNRAY-RIVOMEERSA-N,383.220891788,-1.6989700043360187,-2.115213695743572,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C[C@@H]2CCCN2C[C@@]1(O)[C@H]3O
CHEMBL1089482,6.25,WKDABLWSPHOACG-DKNHICIASA-N,451.283492044,-0.7958800173440752,-1.141115505744997,COc1ccc2c3c(n(CC=C(C)C)c2c1)[C@H](C=C(C)C)N1C[C@@H]2CCCN2C[C@@]1(O)[C@H]3O
CHEMBL1088758,200.0,CHEMZHJQHCVLFI-MKICQXMISA-N,440.194736616,-2.3010299956639813,-2.6570880265840526,COc1cc(/C=C/C(=O)NCCCCNC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
