,molecule_chembl_id,canonical_smiles,standard_value,standard_units,target_chembl_id,target_organism,units,MW,LogP,HBA,HBD,RotatableBonds,violations,uM,pMIC_ug/mL-1,pMIC_uM,NEW_SMILES,ROMol,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Molecule,QED,SA,Dataset
2,CHEMBL268685,O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O,128.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,286.04773804,2.2823999999999995,6,4,1.0,0.0,447.1787562142127,-2.1072099696478683,-2.650481163666188,O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c7b530>,2.2823999999999995,111.13000000000001,0.0,3,6,1,<rdkit.Chem.rdchem.Mol object at 0x7e4137853610>,0.5106223467843569,2.4352844692385354,Botrytis cinerea
3,CHEMBL250060,O=Cc1ccc(-c2ccoc2)cc1,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,172.052429496,2.759100000000001,2,0,2.0,0.0,1161.5548573320248,-2.3010299956639813,-3.065039725263247,O=Cc1ccc(-c2ccoc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c7b760>,2.759100000000001,30.21,0.0,2,2,2,<rdkit.Chem.rdchem.Mol object at 0x7e4137853450>,0.651769950435354,2.0916332722760327,Botrytis cinerea
5,CHEMBL400450,O=Cc1ccc(C2COC(=O)C2)cc1,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,190.06299418,1.5295999999999998,3,0,2.0,0.0,1051.535767989148,-2.3010299956639813,-3.0218240498003914,O=Cc1ccc(C2COC(=O)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c7b920>,1.5295999999999998,43.370000000000005,0.2727272727272727,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x7e4137853220>,0.5243352580769512,2.8248267335345734,Botrytis cinerea
6,CHEMBL467139,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)CC[C@H](O)CC1=O,250.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,258.110338296,0.3537999999999997,6,1,1.0,0.0,967.9792465249546,-2.3979400086720375,-2.9858660461345172,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)CC[C@H](O)CC1=O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c822d0>,0.3537999999999997,89.9,0.75,1,6,1,<rdkit.Chem.rdchem.Mol object at 0x7e4137853370>,0.6826196080707801,4.167782331057683,Botrytis cinerea
8,CHEMBL466333,C[C@@H]1C[C@@H](O)[C@@H](O)/C=C/[C@@H]2O[C@@H]2C(=O)O1,500.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,214.084123548,-0.6328000000000003,5,2,0.0,0.0,2334.0817955624443,-2.6989700043360187,-3.368116071391856,C[C@@H]1C[C@@H](O)[C@@H](O)/C=C/[C@@H]2O[C@@H]2C(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c818c0>,-0.6328000000000003,79.29,0.7,2,5,0,<rdkit.Chem.rdchem.Mol object at 0x7e41378537d0>,0.31859564880162583,4.911917658359539,Botrytis cinerea
9,CHEMBL446482,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)[C@H]2O[C@H]2/C=C/[C@@H]1O,62.5,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,256.094688232,-0.062,6,1,1.0,0.0,243.8986318262349,-1.7958800173440752,-2.387209364102238,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)[C@H]2O[C@H]2/C=C/[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82880>,-0.062,85.36,0.6666666666666666,2,6,1,<rdkit.Chem.rdchem.Mol object at 0x7e4137852500>,0.4016277189706503,4.810420856155188,Botrytis cinerea
10,CHEMBL443368,CC(=O)O[C@H]1/C=C/[C@@H]2O[C@@H]2C(=O)O[C@H](C)C[C@H]1O,500.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,256.094688232,-0.062000000000000444,6,1,1.0,0.0,1951.1890546098796,-2.6989700043360187,-3.290299351094182,CC(=O)O[C@H]1/C=C/[C@@H]2O[C@@H]2C(=O)O[C@H](C)C[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c80190>,-0.062000000000000444,85.36,0.6666666666666666,2,6,1,<rdkit.Chem.rdchem.Mol object at 0x7e4137853840>,0.40162771897065025,4.869769992732896,Botrytis cinerea
11,CHEMBL455287,C[C@@H]1C[C@@H](O)[C@@H](O)/C=C/C=C\C(=O)O1,500.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,198.089208928,0.15600000000000003,4,2,0.0,0.0,2522.4752545177535,-2.6989700043360187,-3.401826914500978,C[C@@H]1C[C@@H](O)[C@@H](O)/C=C/C=C\C(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c81ee0>,0.15600000000000003,66.76,0.5,1,4,0,<rdkit.Chem.rdchem.Mol object at 0x7e4137852490>,0.5438669708316428,4.385055790353047,Botrytis cinerea
12,CHEMBL464321,CCC(C)CC(C)/C=C(\C)[C@H]1O[C@@H](C2=C(O)C([C@]3(O)CCC(=O)C[C@H]3O)CN(C)C2=O)CC[C@@H]1C,1.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,491.32468815999994,3.934000000000003,6,3,7.0,0.0,2.033888652731816,-0.0,-0.3083271733518127,CCC(C)CC(C)/C=C(\C)[C@H]1O[C@@H](C2=C(O)C([C@]3(O)CCC(=O)C[C@H]3O)CN(C)C2=O)CC[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c820a0>,3.934000000000003,107.29999999999998,0.7857142857142857,3,7,7,<rdkit.Chem.rdchem.Mol object at 0x7e41378525e0>,0.46592269930385066,5.247403363911535,Botrytis cinerea
13,CHEMBL455737,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,100.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,611.378180276,2.5163000000000038,9,0,5.0,1.0,163.45825357932705,-2.0,-2.2134068545184653,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c81e00>,2.5163000000000038,139.83000000000004,0.8064516129032258,1,12,5,<rdkit.Chem.rdchem.Mol object at 0x7e4137852ce0>,0.3388435211403987,5.038803534742049,Botrytis cinerea
14,CHEMBL469036,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,100.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,639.409480404,3.1524000000000054,9,0,6.0,1.0,156.2912706636596,-2.0,-2.1939347220468672,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c826c0>,3.1524000000000054,139.83000000000004,0.8181818181818182,1,12,6,<rdkit.Chem.rdchem.Mol object at 0x7e4137853530>,0.3167297688067985,4.9129828422556026,Botrytis cinerea
15,CHEMBL446988,CC(C)C[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,100.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,653.4251304679999,3.542500000000004,9,0,7.0,1.0,152.93840558653403,-2.0,-2.184516558269679,CC(C)C[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82730>,3.542500000000004,139.83000000000004,0.8235294117647058,1,12,7,<rdkit.Chem.rdchem.Mol object at 0x7e4137853ca0>,0.29817107802506815,5.1242930452142925,Botrytis cinerea
16,CHEMBL446318,CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,75.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,653.4251304679999,3.542500000000004,9,0,7.0,1.0,114.70380418990054,-1.8750612633917,-2.059577821661379,CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c827a0>,3.542500000000004,139.83000000000004,0.8235294117647058,1,12,7,<rdkit.Chem.rdchem.Mol object at 0x7e4137853b50>,0.29817107802506815,5.198998576813439,Botrytis cinerea
17,CHEMBL504435,CC(C)[C@@H]1NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC1=O,100.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,625.39383034,2.8102000000000036,9,1,6.0,1.0,159.79444043182843,-2.0,-2.203561665267205,CC(C)[C@@H]1NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC1=O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c823b0>,2.8102000000000036,148.62,0.8125,1,12,6,<rdkit.Chem.rdchem.Mol object at 0x7e4137853df0>,0.34743187177883694,5.131645835830736,Botrytis cinerea
18,CHEMBL505058,CC[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,100.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,625.3938303399999,2.906400000000005,9,0,6.0,1.0,159.79444043182846,-2.0,-2.203561665267205,CC[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82570>,2.906400000000005,139.83000000000004,0.8125,1,12,6,<rdkit.Chem.rdchem.Mol object at 0x7e4137852420>,0.3219604109186677,5.112772192957717,Botrytis cinerea
20,CHEMBL513635,CCC(C)C(=O)C(Cc1c[nH]c2ccccc12)OC(C)=O,100.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,287.152143532,3.2573000000000016,3,1,6.0,0.0,347.99675667022774,-2.0,-2.5415751963408715,CCC(C)C(=O)C(Cc1c[nH]c2ccccc12)OC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82500>,3.2573000000000016,59.160000000000004,0.4117647058823529,2,4,6,<rdkit.Chem.rdchem.Mol object at 0x7e4137864040>,0.8295651710699878,3.12540381927478,Botrytis cinerea
21,CHEMBL445987,CC(C)C(=O)C(O)Cc1c[nH]c2ccccc12,12.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,231.125928784,2.2964,2,2,4.0,0.0,51.881795974837324,-1.0791812460476249,-1.7150150014995742,CC(C)C(=O)C(O)Cc1c[nH]c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82030>,2.2964,53.089999999999996,0.35714285714285715,2,3,4,<rdkit.Chem.rdchem.Mol object at 0x7e4137864ac0>,0.8478980043263799,2.694518588930128,Botrytis cinerea
22,CHEMBL462735,CCC(C)C(=O)C(O)Cc1c[nH]c2ccccc12,12.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,245.141578848,2.6865000000000006,2,2,5.0,0.0,48.915303152591285,-1.0791812460476249,-1.6894447494100302,CCC(C)C(=O)C(O)Cc1c[nH]c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7e4134c81d90>,2.6865000000000006,53.089999999999996,0.4,2,3,5,<rdkit.Chem.rdchem.Mol object at 0x7e4137864350>,0.8505612764466551,3.015384855603754,Botrytis cinerea
23,CHEMBL501839,CC(=O)OC(Cc1c[nH]c2ccccc12)C(=O)C(C)C,100.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,273.136493468,2.8672000000000013,3,1,5.0,0.0,365.85544319728393,-2.0,-2.5633095208507806,CC(=O)OC(Cc1c[nH]c2ccccc12)C(=O)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c829d0>,2.8672000000000013,59.160000000000004,0.375,2,4,5,<rdkit.Chem.rdchem.Mol object at 0x7e4137864120>,0.8520908106740639,2.8121648802968107,Botrytis cinerea
24,CHEMBL448235,CSC(CC(=O)c1ccccc1N)C(=O)O,50.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,239.061614276,1.6578,4,2,5.0,0.0,208.9462423107783,-1.6989700043360187,-2.320034565197912,CSC(CC(=O)c1ccccc1N)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82a40>,1.6578,80.39,0.2727272727272727,1,5,5,<rdkit.Chem.rdchem.Mol object at 0x7e4137864200>,0.6030085861171773,2.826432226053022,Botrytis cinerea
25,CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,10.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,413.98602378799995,6.454800000000002,3,0,6.0,1.0,24.03066312614896,-1.0,-1.3807657553254853,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82ab0>,6.454800000000002,27.05,0.16666666666666666,3,7,6,<rdkit.Chem.rdchem.Mol object at 0x7e41378642e0>,0.4616906207935435,2.863391143499035,Botrytis cinerea
27,CHEMBL511197,COc1cc(O)cc(-c2cc3c(O)cccc3o2)c1,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,256.073558864,3.5196000000000014,4,2,2.0,0.0,780.4664848179757,-2.3010299956639813,-2.892354258108068,COc1cc(O)cc(-c2cc3c(O)cccc3o2)c1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82b20>,3.5196000000000014,62.83,0.06666666666666667,3,4,2,<rdkit.Chem.rdchem.Mol object at 0x7e41378649e0>,0.7359721218757089,2.231351507627082,Botrytis cinerea
28,CHEMBL464662,Cc1c(O)cc(CCc2ccccc2)cc1O,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,228.115029752,3.191420000000002,2,2,3.0,0.0,876.0748343123469,-2.3010299956639813,-2.9425412051872466,Cc1c(O)cc(CCc2ccccc2)cc1O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82b90>,3.191420000000002,40.46,0.2,2,2,3,<rdkit.Chem.rdchem.Mol object at 0x7e41378645f0>,0.8465762380572,1.879260812609786,Botrytis cinerea
29,CHEMBL449756,COc1cc(-c2cc3c(O)cccc3o2)c(C)c(O)c1C,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,284.104858992,4.136440000000001,4,2,2.0,0.0,703.4550193274266,-2.3010299956639813,-2.847236332783655,COc1cc(-c2cc3c(O)cccc3o2)c(C)c(O)c1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82c00>,4.136440000000001,62.83,0.17647058823529413,3,4,2,<rdkit.Chem.rdchem.Mol object at 0x7e41378647b0>,0.7421575312575188,2.4614250527929116,Botrytis cinerea
30,CHEMBL462853,Cc1c(O)cc(-c2cc3ccccc3o2)cc1O,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,240.078644244,3.8194200000000014,3,2,1.0,0.0,832.4384619866976,-2.3010299956639813,-2.9203521381454136,Cc1c(O)cc(-c2cc3ccccc3o2)cc1O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82c70>,3.8194200000000014,53.60000000000001,0.06666666666666667,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x7e4137864c80>,0.6794448518802955,2.191957507439879,Botrytis cinerea
31,CHEMBL513285,COc1cc(-c2cc3c(O)cccc3o2)c(C)c(OC)c1C,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,298.120509056,4.439440000000002,4,1,3.0,0.0,670.3805750524571,-2.3010299956639813,-2.8263214216876276,COc1cc(-c2cc3c(O)cccc3o2)c(C)c(OC)c1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82ce0>,4.439440000000002,51.83,0.2222222222222222,3,4,3,<rdkit.Chem.rdchem.Mol object at 0x7e4137864d60>,0.776365101592563,2.425451478246025,Botrytis cinerea
32,CHEMBL462851,COc1c(C)c(O)c(C)c(-c2cc3c(O)cccc3o2)c1C,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,298.120509056,4.444860000000002,4,2,2.0,0.0,670.3805750524572,-2.3010299956639813,-2.8263214216876276,COc1c(C)c(O)c(C)c(-c2cc3c(O)cccc3o2)c1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82d50>,4.444860000000002,62.83,0.2222222222222222,3,4,2,<rdkit.Chem.rdchem.Mol object at 0x7e4137864e40>,0.7336327027184752,2.6059479725713732,Botrytis cinerea
33,CHEMBL513458,COc1cc(-c2cc3c(O)c(C)ccc3o2)c(C)c(O)c1C,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,298.120509056,4.444860000000003,4,2,2.0,0.0,670.3805750524572,-2.3010299956639813,-2.8263214216876276,COc1cc(-c2cc3c(O)c(C)ccc3o2)c(C)c(O)c1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82dc0>,4.444860000000003,62.83,0.2222222222222222,3,4,2,<rdkit.Chem.rdchem.Mol object at 0x7e4137864f20>,0.7336327027184752,2.5376102802636797,Botrytis cinerea
34,CHEMBL462852,COc1ccccc1CCc1cc(O)c(C)c(O)c1,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,258.12559443600003,3.200020000000002,3,2,4.0,0.0,774.2425004935798,-2.3010299956639813,-2.8888770073642727,COc1ccccc1CCc1cc(O)c(C)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82e30>,3.200020000000002,49.69,0.25,2,3,4,<rdkit.Chem.rdchem.Mol object at 0x7e4137865000>,0.885024125633512,2.0138858085462896,Botrytis cinerea
35,CHEMBL1173076,COc1ccc2c(c1O)CCc1cc(O)c(C)c3c1C2CC(C)(C)O3,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,340.16745924799994,4.206420000000004,4,2,1.0,0.0,587.5112728725481,-2.3010299956639813,-2.769016204049091,COc1ccc2c(c1O)CCc1cc(O)c(C)c3c1C2CC(C)(C)O3,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82ea0>,4.206420000000004,58.92,0.42857142857142855,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x7e41378650e0>,0.8164620022021527,3.360510828835131,Botrytis cinerea
36,CHEMBL464899,COc1ccccc1CCc1cc(O)cc(O)c1,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,244.109944372,2.8916000000000013,3,2,4.0,0.0,818.6990871505178,-2.3010299956639813,-2.9131243061514818,COc1ccccc1CCc1cc(O)cc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82f10>,2.8916000000000013,49.69,0.2,2,3,4,<rdkit.Chem.rdchem.Mol object at 0x7e41378651c0>,0.869038606507593,1.914670629611825,Botrytis cinerea
37,CHEMBL327919,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,290.13789043599996,2.572400000000001,5,2,4.0,0.0,688.8878938285978,-2.3010299956639813,-2.8381485527451304,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82f80>,2.572400000000001,85.25,0.35714285714285715,2,7,4,<rdkit.Chem.rdchem.Mol object at 0x7e41378652a0>,0.847401444528972,2.306021195399575,Botrytis cinerea
38,CHEMBL1957727,CN1CC2=C(C(=O)c3ccccc3C2=O)C12C(=O)Nc1ccccc12,125.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,330.100442308,2.1552,4,1,0.0,0.0,378.3945777570585,-2.0969100130080562,-2.577944904508135,CN1CC2=C(C(=O)c3ccccc3C2=O)C12C(=O)Nc1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82ff0>,2.1552,66.48,0.15,5,5,0,<rdkit.Chem.rdchem.Mol object at 0x7e4137865380>,0.8037307076955255,3.6954929143100506,Botrytis cinerea
39,CHEMBL1957738,CC(=O)N1C(=O)C2(C3=C(CN2C)C(=O)c2ccccc2C3=O)c2ccccc21,125.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,372.111006992,2.0961999999999996,5,0,0.0,0.0,335.6786078736773,-2.0969100130080562,-2.5259236654111232,CC(=O)N1C(=O)C2(C3=C(CN2C)C(=O)c2ccccc2C3=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7e4134c83060>,2.0961999999999996,74.76,0.18181818181818182,5,6,0,<rdkit.Chem.rdchem.Mol object at 0x7e4137865460>,0.7079906105538446,3.756740905436292,Botrytis cinerea
40,CHEMBL1957728,Cc1ccc2c(c1)C1(C(=O)N2)C2=C(CN1C)C(=O)c1ccccc1C2=O,250.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,344.11609237199997,2.4636200000000006,4,1,0.0,0.0,725.9633533699218,-2.3979400086720375,-2.86091469806797,Cc1ccc2c(c1)C1(C(=O)N2)C2=C(CN1C)C(=O)c1ccccc1C2=O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c830d0>,2.4636200000000006,66.48,0.19047619047619047,5,5,0,<rdkit.Chem.rdchem.Mol object at 0x7e4137865540>,0.797228039683976,3.739371563862968,Botrytis cinerea
