molecule_chembl_id,MIC,InChI,MW,violations,pMIC_ug/mL-1,pMIC_uM,NEW_SMILES
CHEMBL579264,0.003,BEGNUDOBMBZOAF-UHFFFAOYSA-N,483.20819616400007,0.0,2.5228787452803374,2.207292289744921,CC(C)(C)OC(=O)n1ccc2cc(CNCC(O)(Cn3cncn3)c3ccc(F)cc3F)ccc21
CHEMBL56245,0.03,HRMGALKSLBVZTP-MPBGBICISA-N,475.0455432920001,0.0,1.5228787452803376,1.2007420020811534,C[C@@H](n1cnc2cc(Br)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL5425568,0.06,MQJWJZYPDPKASF-UHFFFAOYSA-N,382.112898812,0.0,1.2218487496163564,0.8043280174545652,O=c1oc2ccccc2cc1COC(Cn1ccnc1)c1ccc(F)cc1F
CHEMBL5418561,0.06,RQDZJMFJEOXCNF-UHFFFAOYSA-N,364.12232062400005,0.0,1.2218487496163564,0.7833985136066113,O=c1oc2ccccc2cc1COC(Cn1ccnc1)c1ccc(F)cc1
CHEMBL5403892,0.06,QGAVXLLEAXQPBD-UHFFFAOYSA-N,231.08079016,0.0,1.2218487496163564,0.5858929287992503,O=C(NNc1cccc(F)c1)c1ccccn1
CHEMBL5397888,0.06,USSJTONACYXNJS-UHFFFAOYSA-N,249.071368348,0.0,1.2218487496163564,0.6184316412997394,O=C(NNc1cc(F)cc(F)c1)c1ccccn1
CHEMBL5281371,0.02,AIVBVLRDPCDYJY-UHFFFAOYSA-N,376.024547524,0.0,1.6989700043360187,1.2738817072859188,Cc1ccccc1[Se]C(Cn1ccnc1)c1ccc(Cl)cc1
CHEMBL5267834,0.02,DOHNJEOZBOTEAH-QPPOOLOWSA-N,404.2562742519999,0.0,1.6989700043360187,1.3059389892580715,C[C@@H]1CCCCC/C=C/[C@H](O)C[C@@H](O)C/C=C\C=C\[C@@H](O)C/C=C/C=C\C(=O)O1
CHEMBL5205611,0.0313,CTLPEOUJQMEDSO-RNODOKPDSA-N,495.14421391600007,0.0,1.5044556624535514,1.1994221844261488,C[C@@H](c1cn(-c2ccc(OCC(F)(F)F)nc2)nn1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL5202750,0.0156,RILSEGUIZIWPBS-BXKMTCNYSA-N,468.208530512,0.0,1.8068754016455384,1.477592412720332,CCCCOc1ccc(-n2cc([C@H](C)[C@](O)(Cn3cncn3)c3ccc(F)cc3F)nn2)cc1
CHEMBL5200713,0.015,PGLGNKLQRKIVSS-UHFFFAOYSA-N,436.116938636,0.0,1.8239087409443189,1.4638800544788295,Fc1cccc(F)c1CC1(Cn2cncn2)COC(c2ccc(-c3ccsc3)cc2)=N1
CHEMBL5198641,0.0313,CUSHEGVWEMZUBF-YEJXKQKISA-N,462.142736696,0.0,1.5044556624535514,1.1694800623434525,C[C@@H](c1cn(-c2ccc(OC(F)F)cc2)nn1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL5188641,0.0313,UZUUQDYRBHYMPN-LHSJRXKWSA-N,494.14896494800007,0.0,1.5044556624535514,1.1985552062790252,C[C@@H](c1cn(-c2ccc(OCC(F)(F)F)cc2)nn1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL5188266,0.0313,IHEYCBGSAZUCKO-RNODOKPDSA-N,480.1333148840001,0.0,1.5044556624535514,1.186055949095507,C[C@@H](c1cn(-c2ccc(OC(F)(F)F)cc2)nn1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL5093467,0.03,WAULOUSEMAEXTO-UHFFFAOYSA-N,394.06550978,0.0,1.5228787452803376,1.119351581925982,Clc1ccc2cc(C3=NC(Cn4cncn4)(c4ccccc4)CO3)sc2c1
CHEMBL5093244,0.03,OFFRKEVSPMZDMZ-UHFFFAOYSA-N,438.0149942,0.0,1.5228787452803376,1.1656775139373723,Brc1ccc2cc(C3=NC(Cn4cncn4)(c4ccccc4)CO3)sc2c1
CHEMBL5092693,0.06,KQFPZMUJFKULRN-UHFFFAOYSA-N,430.0466661560001,0.0,1.2218487496163564,0.8561919824684276,Fc1cc(F)cc(C2(Cn3cncn3)COC(c3cc4ccc(Cl)cc4s3)=N2)c1
CHEMBL5090261,0.06,DYKQCQVMNLYFGC-UHFFFAOYSA-N,430.0466661560001,0.0,1.2218487496163564,0.8561919824684276,Fc1ccc(C2(Cn3cncn3)COC(c3cc4ccc(Cl)cc4s3)=N2)c(F)c1
CHEMBL5085370,0.03,VRYCTTIYXYKRDN-UHFFFAOYSA-N,370.142975816,0.0,1.5228787452803376,1.0915637930779356,c1ccc(C2(Cn3cncn3)COC(c3ccc(-c4ccoc4)cc3)=N2)cc1
CHEMBL5082513,0.03,TWTNQIGECOYYCR-UHFFFAOYSA-N,456.005572388,0.0,1.5228787452803376,1.1831065372431953,Fc1cccc(C2(Cn3cncn3)COC(c3cc4ccc(Br)cc4s3)=N2)c1
CHEMBL5081227,0.03,CJNXMPWRKNZBOT-UHFFFAOYSA-N,412.056087968,0.0,1.5228787452803376,1.1386994357324212,Fc1cccc(C2(Cn3cncn3)COC(c3cc4ccc(Cl)cc4s3)=N2)c1
CHEMBL5078665,0.06,OQJHOAOJXPNANZ-UHFFFAOYSA-N,473.9961505760001,0.0,1.2218487496163564,0.89883301068716,Fc1cc(F)cc(C2(Cn3cncn3)COC(c3cc4ccc(Br)cc4s3)=N2)c1
CHEMBL5078168,0.03,USUDOCQJSKPZMX-UHFFFAOYSA-N,444.0867813800001,0.0,1.5228787452803376,1.170689929853332,FC(F)(F)Oc1ccc2sc(C3=NC(Cn4cncn4)(c4ccccc4)CO3)cc2c1
CHEMBL5077351,0.03,XQGUANABEGFDSR-UHFFFAOYSA-N,456.005572388,0.0,1.5228787452803376,1.1831065372431953,Fc1ccc(C2(Cn3cncn3)COC(c3cc4ccc(Br)cc4s3)=N2)cc1
CHEMBL5076927,0.03,KTOAMCQQWXLGKV-UHFFFAOYSA-N,412.056087968,0.0,1.5228787452803376,1.1386994357324212,Fc1ccc(C2(Cn3cncn3)COC(c3cc4ccc(Cl)cc4s3)=N2)cc1
CHEMBL5075829,0.03,NSHUZONZAYANBP-UHFFFAOYSA-N,473.9961505760001,0.0,1.5228787452803376,1.199863006351141,Fc1ccc(C2(Cn3cncn3)COC(c3cc4ccc(Br)cc4s3)=N2)c(F)c1
CHEMBL5074526,0.06,ANHYXTLZFWOORJ-UHFFFAOYSA-N,444.08678138,0.0,1.2218487496163564,0.8696599341893508,FC(F)(F)Oc1ccc2cc(C3=NC(Cn4cncn4)(c4ccccc4)CO3)sc2c1
CHEMBL5074076,0.03,MXLNMGLQUWCDGY-UHFFFAOYSA-N,388.133554004,0.0,1.5228787452803376,1.1121602028364066,Fc1ccc(C2(Cn3cncn3)COC(c3ccc(-c4ccoc4)cc3)=N2)cc1
CHEMBL503476,0.02,KMKZBIGDFUKDCN-QLVJNLMHSA-N,402.2406241879999,0.0,1.6989700043360187,1.3037693365194336,C[C@@H]1CCC/C=C/CCC(=O)C[C@@H](O)C/C=C\C=C\[C@@H](O)C/C=C/C=C\C(=O)O1
CHEMBL4878685,0.03,FCMUIKBWXRDRMN-UHFFFAOYSA-N,434.135445824,0.0,1.5228787452803376,1.1607895562526582,Fc1cccc(-c2ccc(C3=NC(Cn4cncn4)(c4ccc(F)cc4F)CO3)cc2)c1
CHEMBL4878196,0.03,GBTAGPKCIDIUQR-UHFFFAOYSA-N,465.09139018,0.0,1.5228787452803376,1.191229245954832,COc1ccc(C(=O)C(Cn2ccnc2)NC(=O)c2ccc(-c3ccc(Cl)cc3)s2)cc1
CHEMBL4877879,0.03,QETSRYMIRNGMKO-UHFFFAOYSA-N,444.941851788,0.0,1.5228787452803376,1.1718619362961729,Clc1ccc(C(Cn2cncn2)[Se]Cc2ccccc2Cl)c(Cl)c1
CHEMBL4877761,0.03,VJURDMMDZCHZKM-UHFFFAOYSA-N,398.154289448,0.0,1.5228787452803376,1.1232427666926283,Fc1cc(C2=NC(Cn3cncn3)(c3ccccc3)CO2)ccc1-c1ccccc1
CHEMBL4877100,0.03,GRRCEUHIAGYRDK-UHFFFAOYSA-N,416.144867636,0.0,1.5228787452803376,1.1424217971174306,Fc1ccc(C2(Cn3cncn3)COC(c3ccc(-c4cccc(F)c4)cc3)=N2)cc1
CHEMBL4876451,0.03,WCPDQZZNLIAPCI-UHFFFAOYSA-N,398.154289448,0.0,1.5228787452803376,1.123242766692628,Fc1cc(-c2ccccc2)ccc1C1=NC(Cn2cncn2)(c2ccccc2)CO1
CHEMBL4874394,0.06,GFRXMKBDLSHJPJ-UHFFFAOYSA-N,416.144867636,0.0,1.2218487496163564,0.8413918014534494,Fc1cccc(C2(Cn3cncn3)COC(c3ccc(-c4ccccc4F)cc3)=N2)c1
CHEMBL4874267,0.03,MLTNUZPFUVNZNG-UHFFFAOYSA-N,392.060326316,0.0,1.5228787452803376,1.1154141195790068,Cc1cccc(C)c1[Se]C(Cn1ccnc1)c1ccc(F)cc1F
CHEMBL4872602,0.06,WMCRLGAEOXPZMZ-UHFFFAOYSA-N,425.980489792,0.0,1.2218487496163564,0.8514672899257274,COc1ccccc1[Se]C(Cn1ccnc1)c1ccc(Cl)cc1Cl
CHEMBL4861632,0.03,KPYXMQZBVNREKX-UHFFFAOYSA-N,413.000952868,0.0,1.5228787452803376,1.138543730507386,Fc1ccc(C(Cn2cncn2)[Se]Cc2ccccc2Cl)c(F)c1
CHEMBL4861014,0.06,JREZIFIQNLDOJK-UHFFFAOYSA-N,434.135445824,0.0,1.2218487496163564,0.8597595605886771,Fc1cccc(-c2ccc(C3=NC(Cn4cncn4)(c4cc(F)cc(F)c4)CO3)cc2)c1
CHEMBL4858991,0.06,BTZNJUHTZKZWFH-UHFFFAOYSA-N,392.060326316,0.0,1.2218487496163564,0.8143841239150256,CCc1ccccc1[Se]C(Cn1ccnc1)c1ccc(F)cc1F
CHEMBL4858556,0.03,GCYKPNFVRKLBMD-UHFFFAOYSA-N,434.135445824,0.0,1.5228787452803376,1.1607895562526582,Fc1ccc(C2(Cn3cncn3)COC(c3ccc(-c4ccccc4F)cc3)=N2)c(F)c1
CHEMBL4857306,0.06,OLIASYXYQBENRT-UHFFFAOYSA-N,416.144867636,0.0,1.2218487496163564,0.8413918014534494,Fc1cccc(-c2ccc(C3=NC(Cn4cncn4)(c4cccc(F)c4)CO3)cc2)c1
CHEMBL4855142,0.03,XDNJVFGQQWLJJB-UHFFFAOYSA-N,380.16371126,0.0,1.5228787452803376,1.1031774752438133,c1ccc(-c2ccc(C3=NC(Cn4cncn4)(c4ccccc4)CO3)cc2)cc1
CHEMBL4851086,0.03,KWUCFIKBWDZJRI-UHFFFAOYSA-N,398.154289448,0.0,1.5228787452803376,1.123242766692628,Fc1ccccc1-c1ccc(C2=NC(Cn3cncn3)(c3ccccc3)CO2)cc1
CHEMBL4850656,0.03,BEOLMFSVYXLSFM-UHFFFAOYSA-N,398.154289448,0.0,1.5228787452803376,1.123242766692628,Fc1cccc(-c2ccc(C3=NC(Cn4cncn4)(c4ccccc4)CO3)cc2)c1
CHEMBL4848678,0.06,RFBQORKKYIOIDP-UHFFFAOYSA-N,434.135445824,0.0,1.2218487496163564,0.8597595605886771,Fc1cc(F)cc(C2(Cn3cncn3)COC(c3ccc(-c4ccccc4F)cc3)=N2)c1
CHEMBL4845963,0.03,WTXFRMCKLJLVDP-UHFFFAOYSA-N,416.144867636,0.0,1.5228787452803376,1.1424217971174306,Fc1ccc(C2(Cn3cncn3)COC(c3ccc(-c4ccccc4F)cc3)=N2)cc1
CHEMBL4797885,0.025,ZYFSWANDYNKYEL-DFIDTIBPSA-N,477.171575712,0.0,1.6020599913279625,1.281132493313408,COC(=O)/C=C/C(=O)NC[C@H](NC(=O)[C@H](CCSC)NC(=O)[C@@H](N)CCSC)C(N)=O
CHEMBL4796604,0.03,DXQPEWCGJPXSKA-UHFFFAOYSA-N,396.03525444,0.0,1.5228787452803376,1.119790178316917,Fc1cccc(C[Se]C(Cn2ccnc2)c2ccc(F)cc2F)c1
CHEMBL4794676,0.03,SNPUIILYXACJGV-UHFFFAOYSA-N,427.97615336,0.0,1.5228787452803376,1.154521351288637,Fc1ccc(C[Se]C(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
CHEMBL4794379,0.02,SXHJJTJGPYLSKG-UHFFFAOYSA-N,455.95518832,0.0,1.6989700043360187,1.3581176693487245,Fc1ccc(C(Cn2ccnc2)[Se]Cc2ccccc2Br)c(F)c1
CHEMBL4790854,0.06,QBJGPESSXBJTHH-UHFFFAOYSA-N,396.03525444,0.0,1.2218487496163564,0.8187601826529359,Fc1ccc(C[Se]C(Cn2ccnc2)c2ccc(F)cc2F)cc1
CHEMBL4789411,0.06,ASRSKVPXOFXGQT-UHFFFAOYSA-N,409.985575172,0.0,1.2218487496163564,0.8348507580325029,Clc1ccc(C(Cn2ccnc2)[Se]Cc2ccccc2)c(Cl)c1
CHEMBL4788360,0.025,IFGGIZHNGBIWMV-BKPPUPKMSA-N,445.199504712,0.0,1.6020599913279625,1.250948641358496,CCCC(NC(=O)[C@@H](N)CCSC)C(=O)N[C@@H](CNC(=O)/C=C/C(=O)OC)C(N)=O
CHEMBL4782035,0.06,ULMKMJCWGXORLM-UHFFFAOYSA-N,408.055240936,0.0,1.2218487496163564,0.831786617155269,COc1cccc(C[Se]C(Cn2ccnc2)c2ccc(F)cc2F)c1
CHEMBL4781278,0.025,XFWCCOJZJYSPPG-BCGIRQKWSA-N,415.1954648879999,0.0,1.6020599913279625,1.220571437056743,CCCC(NC(=O)C(CCC)N[C@@H](CNC(=O)/C=C/C(=O)OC)C(=O)O)C(=O)O
CHEMBL4779530,0.025,QSFBSCBZOWHSIR-PXYAPMMASA-N,417.1682045840001,0.0,1.6020599913279625,1.22270398825254,COC(=O)/C=C/C(=O)NC[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CCSC)C(N)=O
CHEMBL4778571,0.06,MITDOVYFXGEJEM-UHFFFAOYSA-N,439.996139856,0.0,1.2218487496163564,0.8655303573891471,COc1cccc(C[Se]C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c1
CHEMBL4777575,0.03,OCOOBEHTQOJGBK-UHFFFAOYSA-N,427.97615336,0.0,1.5228787452803376,1.154521351288637,Fc1cccc(C[Se]C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c1
CHEMBL4762882,0.025,AYQKATWABFCAFH-DFIDTIBPSA-N,478.1555912999999,0.0,1.6020599913279625,1.2820263335711028,COC(=O)/C=C/C(=O)NC[C@H](NC(=O)[C@@H](N)CCSC)C(=O)N[C@@H](CCSC)C(=O)O
CHEMBL4761481,0.025,BTBXXLPAKSORQD-QDCQEWKOSA-N,387.1641647599999,0.0,1.6020599913279625,1.190207275994158,CCCC(NC(=O)CN(C)[C@@H](CNC(=O)/C=C/C(=O)OC)C(=O)O)C(=O)O
CHEMBL4752728,0.025,JQGUAOOUMAAOSW-PXYAPMMASA-N,418.152220172,0.0,1.6020599913279625,1.2237263959456384,COC(=O)/C=C/C(=O)NC[C@H](N)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](C)C(=O)O
CHEMBL471112,0.002,CVCBJWKIMSRTHH-UHFFFAOYSA-N,418.22926595600006,0.0,2.6989700043360187,2.3206571646603678,CCCCCCCCn1cc(CC(O)(Cn2cncn2)c2ccc(F)cc2F)nn1
CHEMBL465532,0.06,UEEXZFQTYOFEMK-RTBURBONSA-N,370.075201872,0.0,1.2218487496163564,0.7915397773993629,CN1N=C(c2ccc(Cl)cc2)[C@@H](n2ccnc2)[C@H]1c1ccc(Cl)cc1
CHEMBL4643325,0.0156,UJGVMXVIDZENJS-NSPYISDASA-N,476.0407922600001,0.0,1.8068754016455384,1.48563862824693,C[C@@H](n1nnc2cc(Br)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL4640879,0.0156,WZLAAJZGRUAWNX-NSPYISDASA-N,432.09130784000007,0.0,1.8068754016455384,1.44318071552344,C[C@@H](n1nnc2cc(Cl)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL4633283,0.0156,FDHSJBPJUIPADI-ZUOKHONESA-N,412.145930256,0.0,1.8068754016455384,1.4221940582570174,Cc1ccc2c(=O)n([C@H](C)[C@](O)(Cn3cncn3)c3ccc(F)cc3F)nnc2c1
CHEMBL4633093,0.0156,KJEVESRPSGCFMC-NSPYISDASA-N,416.1208583800001,0.0,1.8068754016455384,1.4263475307218163,C[C@@H](n1nnc2cc(F)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL4632857,0.0156,QMNQLSWYDLDXHF-NSPYISDASA-N,466.1176648200001,0.0,1.8068754016455384,1.475606007604261,C[C@@H](n1nnc2cc(C(F)(F)F)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL4593252,0.06,VMTUVBOSXOBXQD-HXUWFJFHSA-N,351.174690544,0.0,1.2218487496163564,0.767681403121244,CC(C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)c(F)c1
CHEMBL4580237,0.06,ZZLQCICPEFYHDA-UHFFFAOYSA-N,413.1539551,0.0,1.2218487496163564,0.8382738467088933,O=C(NC(Cn1ccnc1)C(=O)c1ccccc1)c1ccc(-c2ccccc2)c(F)c1
CHEMBL4568423,0.06,FBPVKPXANVGJLA-IBGZPJMESA-N,365.190340608,0.0,1.2218487496163564,0.7846790925953768,CC(C)C[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1F
CHEMBL45656,0.004,UMSYQURYUZUJHN-ULNUMJQQSA-N,486.2981390639999,0.0,2.397940008672037,2.0851558439660343,CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(CO[C@H]2C[C@@H]4OC[C@H](C)[C@@H]4[C@@H](C)O2)C13C(=O)O
CHEMBL4554230,0.03,BCCBJWABNQCNLU-UHFFFAOYSA-N,429.12440456,0.0,1.5228787452803376,1.156253261894491,O=C(NC(Cn1ccnc1)C(=O)c1cccc(Cl)c1)c1ccc(-c2ccccc2)cc1
CHEMBL4549512,0.06,XSGJCYNTRUEOHA-UHFFFAOYSA-N,431.144533288,0.0,1.2218487496163564,0.8567711701241433,O=C(NC(Cn1ccnc1)C(=O)c1ccc(F)cc1)c1ccc(-c2ccccc2)c(F)c1
CHEMBL4543140,0.06,AMBTYCRGILFXLR-UHFFFAOYSA-N,496.19221175199993,0.0,1.2218487496163564,0.9177802482423716,CCN(CC)c1ccc2cc(C(=O)NCC(O)(Cn3ccnc3)c3ccc(F)cc3F)c(=O)oc2c1
CHEMBL4538986,0.06,CPNJHDRQKZGTPH-HXUWFJFHSA-N,351.174690544,0.0,1.2218487496163564,0.767681403121244,CC(C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1F
CHEMBL4536567,0.06,RJULJGAJDJEQOO-UHFFFAOYSA-N,429.12440456,0.0,1.2218487496163564,0.8552232662305097,O=C(NC(Cn1ccnc1)C(=O)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)cc1
CHEMBL4533578,0.05,WSEKTEUGRLFBSE-UHFFFAOYSA-N,358.142975816,0.0,1.3010299956639813,0.8553992084115354,Nc1ncccc1-c1cc(Cc2ccc(COc3ccccn3)cc2)no1
CHEMBL4532739,0.06,WNVBWROIJYSXJS-YCRPNKLZSA-N,383.180918796,0.0,1.2218487496163564,0.8055484308481021,CC[C@H](C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2F)cc1F
