molecule_chembl_id,MIC,InChI,MW,violations,pMIC_ug/mL-1,pMIC_uM,NEW_SMILES
CHEMBL4532223,0.06,LOOSUPPEZFVCFA-UHFFFAOYSA-N,413.1539551,0.0,1.2218487496163564,0.8382738467088933,O=C(NC(Cn1ccnc1)C(=O)c1cccc(F)c1)c1ccc(-c2ccccc2)cc1
CHEMBL4529768,0.06,UQONFGFDYFZJSG-HXUWFJFHSA-N,333.184112356,0.0,1.2218487496163564,0.7448599345176589,CC(C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL4475952,0.06,VZGWSSXOHYEXDI-HXUWFJFHSA-N,351.174690544,0.0,1.2218487496163564,0.767681403121244,CC(C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2F)cc1
CHEMBL4475747,0.0039,LVPQRWIZEODDPI-UHFFFAOYSA-N,487.169892508,0.0,2.408935392973501,2.097303594941456,CCN(Cc1cn(Cc2ccc(Cl)cc2)nn1)CC(O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL4473691,0.06,RVRCIJIYAOWHAN-QFIPXVFZSA-N,399.174690544,0.0,1.2218487496163564,0.8233318320115101,O=C(N[C@@H](Cc1ccccc1)Cn1ccnc1)c1ccc(-c2ccccc2)cc1F
CHEMBL4472155,0.06,VHPILGCUNWATFW-FQEVSTJZSA-N,333.184112356,0.0,1.2218487496163564,0.7448599345176589,CCC[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL4470608,0.06,FCEAAAFBUGIXIU-UHFFFAOYSA-N,409.179026976,0.0,1.2218487496163564,0.8340909895260654,Cc1ccc(C(=O)C(Cn2ccnc2)NC(=O)c2ccc(-c3ccccc3)cc2)cc1
CHEMBL4469273,0.03,OPWMCDMSFNKOMS-UHFFFAOYSA-N,427.169605164,0.0,1.5228787452803376,1.1537935300565014,Cc1ccc(C(=O)C(Cn2ccnc2)NC(=O)c2ccc(-c3ccccc3)c(F)c2)cc1
CHEMBL4467460,0.03,DUPPOOZFRSIYCS-HRAATJIYSA-N,365.190340608,0.0,1.5228787452803376,1.085709088259358,CC[C@H](C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1F
CHEMBL4455341,0.06,VGZAHXJSBCCPHJ-UHFFFAOYSA-N,413.1539551,0.0,1.2218487496163564,0.8382738467088933,O=C(NC(Cn1ccnc1)C(=O)c1ccc(F)cc1)c1ccc(-c2ccccc2)cc1
CHEMBL4454793,0.03,VXCSVELZOJVNIF-LAUBAEHRSA-N,347.19976242,0.0,1.5228787452803376,1.0637860604144966,CC[C@H](C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL4454428,0.06,YKMDZVOVJMQFFU-UHFFFAOYSA-N,395.163376912,0.0,1.2218487496163564,0.8189535080361862,O=C(NC(Cn1ccnc1)C(=O)c1ccccc1)c1ccc(-c2ccccc2)cc1
CHEMBL4454042,0.06,IZCDITWSBRARTO-YCRPNKLZSA-N,383.180918796,0.0,1.2218487496163564,0.8055484308481021,CC[C@H](C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2cccc(F)c2)cc1F
CHEMBL4452753,0.06,VZEHMJFMLBBTPR-UHFFFAOYSA-N,431.144533288,0.0,1.2218487496163564,0.8567711701241433,O=C(NC(Cn1ccnc1)C(=O)c1ccc(F)cc1)c1ccc(-c2ccccc2)cc1F
CHEMBL4449733,0.06,AQSMLQROCDQDAO-HRAATJIYSA-N,365.190340608,0.0,1.2218487496163564,0.7846790925953768,CC[C@H](C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)c(F)c1
CHEMBL4448438,0.06,ARKRPDALAGZHSY-QFIPXVFZSA-N,399.174690544,0.0,1.2218487496163564,0.8233318320115101,O=C(N[C@@H](Cc1ccccc1)Cn1ccnc1)c1ccc(-c2ccccc2)c(F)c1
CHEMBL4446560,0.06,FKUPQSFUAASUHR-HRAATJIYSA-N,365.190340608,0.0,1.2218487496163564,0.7846790925953768,CC[C@H](C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2F)cc1
CHEMBL4443920,0.03125,CVJIYUZYANCKIV-FQEVSTJZSA-N,395.164519784,0.0,1.505149978319906,1.1022239861846732,CC(C)OC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)c(F)c1
CHEMBL4443630,0.06,KGQVLDAYQYSYKT-IBGZPJMESA-N,365.190340608,0.0,1.2218487496163564,0.7846790925953768,CC(C)C[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)c(F)c1
CHEMBL4437232,0.031,KYKNTIAQEZNAMR-JHVJFLLYSA-N,466.22162006,0.0,1.5086383061657274,1.177525329421222,CC(C)[C@@H]1NC(=O)[C@H](C)NC(=O)c2ccccc2NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C1=O
CHEMBL4436768,0.06,UIVOVTRFCXPRMH-HXUWFJFHSA-N,351.174690544,0.0,1.2218487496163564,0.767681403121244,CC(C)[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2cccc(F)c2)cc1
CHEMBL4436354,0.03,LDBTZICVDXWKTR-NRFANRHFSA-N,347.19976242,0.0,1.5228787452803376,1.0637860604144966,CC(C)C[C@@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL439732,0.013,CFFLNHOSQKZMAN-XMSQKQJNSA-N,457.2210693560001,0.0,1.8860566476931635,1.5465303253914555,CCCCCCCCCCS(=O)(=O)[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL424170,0.025,HVCRYOZBFZLNFW-UHFFFAOYSA-N,283.179695672,0.0,1.6020599913279625,1.0544276547339684,CCC(C)(C)n1c(C)cc2c3c(N)nc(N)nc3ccc21
CHEMBL3984743,0.03125,HNWAOXQUAXIEIQ-NRFANRHFSA-N,409.180169848,0.0,1.505149978319906,1.1173625210674,CC(C)COC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2F)cc1
CHEMBL3979889,0.03125,IRPWNLLRPUUENV-FQEVSTJZSA-N,377.173941596,0.0,1.505149978319906,1.0820025043644006,CC(C)OC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL3970008,0.0625,GWVWZJDELXVCNR-NRFANRHFSA-N,391.18959166,0.0,1.2041199826559248,0.7968195778967259,Cc1ccc(-c2ccc(C(=O)N[C@@H](Cn3ccnc3)C(=O)OC(C)C)cc2)cc1
CHEMBL3956100,0.0625,CEJFJBITCCNTOY-FQEVSTJZSA-N,395.164519784,0.0,1.2041199826559248,0.801193990520692,CC(C)OC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2F)cc1
CHEMBL3936561,0.03125,KRXJOWDVRBTAGW-NRFANRHFSA-N,391.18959166,0.0,1.505149978319906,1.097849573560707,CC(C)COC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL3900609,0.0625,QTNKNAQUMIUIRO-FQEVSTJZSA-N,395.164519784,0.0,1.2041199826559248,0.801193990520692,CC(C)OC(=O)[C@H](Cn1ccnc1)NC(=O)c1ccc(-c2cccc(F)c2)cc1
CHEMBL3892576,0.0625,YIJUYZNEIGFWAF-HXUWFJFHSA-N,410.175418816,0.0,1.2041199826559248,0.817379184563092,CC(C)COC(=O)[C@@H](Cn1cncn1)NC(=O)c1ccc(-c2ccccc2F)cc1
CHEMBL38159,0.013,BRAZNJQIXWNAQG-AUSIDOKSSA-N,471.2367194200001,0.0,1.8860566476931635,1.559643336466725,CCCCCCCCCCCS(=O)(=O)[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616820,0.03125,MUJRDXNBGYOUQB-JCQPUDPBSA-N,485.113330476,0.0,1.505149978319906,1.191331161716214,C[C@@H](N1Cc2cc(-c3cncc(F)c3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616818,0.0156,KAHLMCCGECFGDN-JBEBIEQOSA-N,497.1333169720001,0.0,1.8068754016455384,1.5036920558385014,COc1ccc(-c2cc3c(s2)C(=O)N([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C3)cn1
CHEMBL3616817,0.0156,VUAALWWYFYDRHI-JBEBIEQOSA-N,492.118001256,0.0,1.8068754016455384,1.499291336349122,C[C@@H](N1Cc2cc(-c3cncc(C#N)c3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616815,0.03125,RXQLCBKSOYBQOY-MCMMXHMISA-N,468.11800125600007,0.0,1.505149978319906,1.175849376541815,C[C@@H](N1Cc2cc(-c3cncnc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616814,0.0156,OLNLNBKXLSTQPH-QKFKETGDSA-N,467.1227522880001,0.0,1.8068754016455384,1.4766579458252354,C[C@@H](N1Cc2cc(-c3cccnc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616813,0.0156,HXZMEXGFPORYGF-QKFKETGDSA-N,467.1227522880001,0.0,1.8068754016455384,1.4766579458252354,C[C@@H](N1Cc2cc(-c3ccncc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616811,0.0156,GZXMIQBHXYDVEJ-SGANQWHYSA-N,491.1227522880001,0.0,1.8068754016455384,1.4984192463760049,C[C@@H](N1Cc2cc(-c3ccc(C#N)cc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616810,0.0156,DNNPHCYACJSVMF-JBEBIEQOSA-N,484.1180815080001,0.0,1.8068754016455384,1.492171872153916,C[C@@H](N1Cc2cc(-c3cccc(F)c3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616809,0.0156,YZTOOEAHLCYMNV-JBEBIEQOSA-N,484.1180815080001,0.0,1.8068754016455384,1.492171872153916,C[C@@H](N1Cc2cc(-c3ccc(F)cc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616805,0.0156,REKSZTABTIWBLM-SGANQWHYSA-N,496.1380680040001,0.0,1.8068754016455384,1.5028287669031433,COc1ccc(-c2cc3c(s2)C(=O)N([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C3)cc1
CHEMBL3616803,0.03125,WXIAQMVUQRKFRK-PUAOIOHZSA-N,480.1431533840001,0.0,1.505149978319906,1.1868795223666042,Cc1ccc(-c2cc3c(s2)C(=O)N([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C3)cc1
CHEMBL3616802,0.0156,SUXJPJYNKXNVME-OYLFLEFRSA-N,466.1275033200001,0.0,1.8068754016455384,1.4757391520851844,C[C@@H](N1Cc2cc(-c3ccccc3)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616801,0.0156,KPYJZANJFUEYIQ-MLCYQJTMSA-N,468.0067152600001,0.0,1.8068754016455384,1.478336135238631,C[C@@H](N1Cc2cc(Br)sc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616800,0.0156,RWBHRWOWSGMNEC-JCQPUDPBSA-N,498.12856594,0.0,1.8068754016455384,1.5045536321351791,COc1ncc(-c2cc3c(s2)CN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C3=O)cn1
CHEMBL3616799,0.0078,FMCBXUBRSHPACC-JCQPUDPBSA-N,485.113330476,0.0,2.10790539730952,1.7940865807058275,C[C@@H](N1Cc2sc(-c3cncc(F)c3)cc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616798,0.0156,COQVDVSOMJWWKG-JBEBIEQOSA-N,497.1333169720001,0.0,1.8068754016455384,1.5036920558385014,COc1ccc(-c2cc3c(s2)CN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C3=O)cn1
CHEMBL3616797,0.0156,WUGYWLHMKRHRCI-JBEBIEQOSA-N,492.118001256,0.0,1.8068754016455384,1.4992913363491225,C[C@@H](N1Cc2sc(-c3ccc(C#N)nc3)cc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616796,0.0156,SGPNUFWBLVTYFR-MCMMXHMISA-N,468.11800125600007,0.0,1.8068754016455384,1.477574799867447,C[C@@H](N1Cc2sc(-c3cncnc3)cc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616795,0.0156,CJDFAFPPHMGIAI-QKFKETGDSA-N,467.1227522880001,0.0,1.8068754016455384,1.4766579458252354,C[C@@H](N1Cc2sc(-c3cccnc3)cc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616794,0.0156,YGJYJBHUTSJYHW-QKFKETGDSA-N,467.1227522880001,0.0,1.8068754016455384,1.4766579458252354,C[C@@H](N1Cc2sc(-c3ccncc3)cc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616793,0.0156,ZQPNGNUNLIZIEK-OYLFLEFRSA-N,466.1275033200001,0.0,1.8068754016455384,1.4757391520851844,C[C@@H](N1Cc2sc(-c3ccccc3)cc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3616792,0.03125,WPRYMYLOWQSVQL-MLCYQJTMSA-N,468.0067152600001,0.0,1.505149978319906,1.1766107119129987,C[C@@H](N1Cc2sc(Br)cc2C1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL353161,0.05,QBTNJNGOMGJBPT-UHFFFAOYSA-N,241.13274548,0.0,1.3010299956639813,0.6835837179351232,CC(C)c1cc2c(ccc3nc(N)nc(N)c32)[nH]1
CHEMBL35121,0.025,GPYDEWLNSHBSPT-CXAGYDPISA-N,371.147904416,0.0,1.6020599913279625,1.171963861559277,C[C@@H](SCCCCCO)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3422938,0.06,DLDIQLKUMZHCHX-UHFFFAOYSA-N,404.069447796,0.0,1.2218487496163564,0.8296049936527081,COC(=O)c1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
CHEMBL34181,0.013,SAKRKLPWMISAPC-DYESRHJHSA-N,443.205419292,0.0,1.8860566476931635,1.5330090224954855,CCCCCCCCCS(=O)(=O)[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3261645,0.0156,RWSAVVPNAOULTL-JLCFBVMHSA-N,469.1496357320001,0.0,1.8068754016455384,1.478530423125539,C[C@@H](N1CCc2nc(-c3cncnc3)sc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3261641,0.03125,AUFDOFNRABDELO-IQMFZBJNSA-N,468.154386764,0.0,1.505149978319906,1.175890163112926,C[C@@H](N1CCc2nc(-c3cccnc3)sc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3261640,0.03125,DPSKVSFFUFPYBN-IQMFZBJNSA-N,468.154386764,0.0,1.505149978319906,1.175890163112926,C[C@@H](N1CCc2nc(-c3ccncc3)sc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3261616,0.0156,KZZCPWYDWPCTJX-JLCFBVMHSA-N,470.1790419520001,0.0,1.8068754016455384,1.4793971827571126,C[C@@H](N1CCn2nc(-c3ccc(F)nc3)nc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3261615,0.0156,AKUXPYNOBIUMJD-IQMFZBJNSA-N,477.18371273200006,0.0,1.8068754016455384,1.485829677283263,C[C@@H](N1CCn2nc(-c3ccc(C#N)nc3)nc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL3085368,0.006,PGLFWZUGXOPVLS-HSZRJFAPSA-N,472.106895924,0.0,2.221848749616356,1.897040305885312,CCOC(=O)Cc1cn(C[C@@](O)(Cn2cncn2)c2ccc(Cl)cc2Cl)c2ccccc12
CHEMBL3085364,0.0031,RNDNUZYWUIOJHT-GOSISDBHSA-N,387.06536546,0.0,2.508638306165728,2.097758719233576,O[C@@](Cn1cncn1)(Cn1ccc2cccnc21)c1ccc(Cl)cc1Cl
CHEMBL3085360,0.02,JNGOHDZGIOQQIB-KRWDZBQOSA-N,388.060614428,0.0,1.6989700043360187,1.2891941626683967,O[C@@](Cn1cncn1)(Cn1nnc2ccccc21)c1ccc(Cl)cc1Cl
CHEMBL288182,0.013,JDARUMFHLMYJOE-OXQOHEQNSA-N,429.1897692280001,0.0,1.8860566476931635,1.5190531829555416,CCCCCCCCS(=O)(=O)[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL257965,0.0039,UMEKDVNCAQOCPL-UHFFFAOYSA-N,452.165997004,0.0,2.408935392973501,2.064516543995963,ONCc1ccc(-c2ccc(OCC(O)(Cn3cncn3)c3ccc(F)cc3F)cc2)cc1
CHEMBL2382173,0.031,QODLNNRSWKGFGO-NTMVJJLOSA-N,490.246772188,0.0,1.5086383061657274,1.1993658500360944,C/C=C/[C@@H]1[C@H]2C[C@@H](C)CC[C@@H]2C(C)=C[C@H]1C(=O)c1c(O)c(-c2ccc(O)cc2)cn(CC(N)=O)c1=O
CHEMBL2371947,0.05,NBYNBKICKQQPOJ-DGWFCWONSA-N,414.2114493,0.0,1.3010299956639813,0.9185115704671512,CCC[C@H](NC(=O)[C@H](CNC(=O)/C=C/C(=O)OC)NC(=O)[C@@H](N)CCC)C(=O)O
CHEMBL2289503,0.02,YMTVOMWYIOREGF-PDCYHRRVSA-N,418.2355388079999,0.0,1.6989700043360187,1.320696597770426,C[C@@H]1CCC/C=C/C=C/[C@H](O)C[C@@H](O)C[C@@H]2O[C@@H]2/C=C/[C@@H](O)C/C=C/C=C\C(=O)O1
CHEMBL21682,0.03,VFVJNOUIJKMRRF-XGCRVMJKSA-N,474.2617535559999,0.0,1.5228787452803376,1.199200988678382,CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(CO[C@H]2C[C@@H]4OCO[C@@H]4[C@@H](C)O2)C13C(=O)O
CHEMBL173617,0.025,WTYUZEFAFVALJC-UHFFFAOYSA-N,255.148395544,0.0,1.6020599913279625,1.0091533319077084,Cc1cc2c3c(N)nc(N)nc3ccc2n1C(C)C
CHEMBL171305,0.05,DGLVMTWZETZWPO-UHFFFAOYSA-N,255.148395544,0.0,1.3010299956639813,0.7081233362437273,CC(C)(C)c1cc2c(ccc3nc(N)nc(N)c32)[nH]1
CHEMBL170758,0.025,YBHNZQJIFKDDHM-UHFFFAOYSA-N,283.179695672,0.0,1.6020599913279625,1.0544276547339684,CCC(CC)n1c(C)cc2c3c(N)nc(N)nc3ccc21
CHEMBL148000,0.05,JZVMTJSCYGZJFS-FMIVXFBMSA-N,254.094294308,0.0,1.3010299956639813,0.7063507380285848,C#CC#CC#CC#C/C=C/C(O)CCCCC(=O)O
CHEMBL1257112,0.001,KUNDLEJVAIBADY-UHFFFAOYSA-N,437.27907536,0.0,3.0,2.641065403807001,N=C(N)c1ccc(OCCCC2CCN(CCCOc3ccc(C(=N)N)cc3)CC2)cc1
CHEMBL1210682,0.05,MTYNEIUFXQHBPH-UHFFFAOYSA-N,343.079075908,0.0,1.3010299956639813,0.836808786229863,Nc1ncccc1C(=O)NCc1ccc(Oc2cccc(F)c2)s1
CHEMBL1208811,0.05,SMTGNCHTVBJOJF-UHFFFAOYSA-N,323.109233164,0.0,1.3010299956639813,0.8107982112591715,Nc1ncccc1C(=O)NCc1ccc(Cc2ccccc2)s1
CHEMBL1095376,0.032,CLILXCBSFZLAFR-VCHYOVAHSA-N,293.1276601,0.0,1.494850021680094,0.9622065039179922,N#Cc1ccc(/C=N/NC(=O)c2cn3c(n2)CCCC3)cc1
CHEMBL100239,0.05,BUFDQCGCADQQQY-UHFFFAOYSA-N,268.078267384,0.0,1.3010299956639813,0.7297235032704914,Nc1nc(N)c2c(Sc3ccccc3)cccc2n1
